layer,expert,loss_fn,beta_global,num_score_tokens,gradient_signed,gradient_abs,gradient_at_global_zero,ratio_to_global_zero_pct,ratio_valid,first_order_signed,first_order_abs
0,36,l2,0.25,4096,-6.402746777212087e-08,6.402746777212087e-08,-8.536995999008923e-08,74.99999739903117,True,1.6006866943030218e-08,1.6006866943030218e-08
0,37,l2,0.25,4096,-4.104229702761586e-07,4.104229702761586e-07,-5.472306554565876e-07,74.99999610469884,True,1.0260574256903965e-07,1.0260574256903965e-07
0,38,l2,0.25,4096,-1.1429695945253115e-07,1.1429695945253115e-07,-1.5239595541061135e-07,74.99999533752235,True,2.857423986313279e-08,2.857423986313279e-08
0,39,l2,0.25,4096,-2.1644883929639036e-07,2.1644883929639036e-07,-2.885984571321387e-07,74.9999987689769,True,5.411220982409759e-08,5.411220982409759e-08
0,40,l2,0.25,4096,-3.517911153494424e-07,3.517911153494424e-07,-4.690548394137295e-07,74.99999697032126,True,8.79477788373606e-08,8.79477788373606e-08
0,41,l2,0.25,4096,-1.7013688591305254e-07,1.7013688591305254e-07,-2.268491599011213e-07,75.0000070475075,True,4.2534221478263134e-08,4.2534221478263134e-08
0,42,l2,0.25,4096,-2.2955734380047943e-07,2.2955734380047943e-07,-3.0607645840063924e-07,75.0,True,5.738933595011986e-08,5.738933595011986e-08
0,43,l2,0.25,4096,-1.2213294553475862e-07,1.2213294553475862e-07,-1.6284393211662973e-07,74.99999781833218,True,3.0533236383689655e-08,3.0533236383689655e-08
0,44,l2,0.25,4096,-2.510646908149283e-07,2.510646908149283e-07,-3.3475291161266796e-07,75.00000212258867,True,6.276617270373208e-08,6.276617270373208e-08
0,45,l2,0.25,4096,-4.175427079644578e-07,4.175427079644578e-07,-5.567236200931802e-07,74.9999987237065,True,1.0438567699111445e-07,1.0438567699111445e-07
0,46,l2,0.25,4096,-2.0227653152460334e-07,2.0227653152460334e-07,-2.6970204203280446e-07,75.0,True,5.0569132881150836e-08,5.0569132881150836e-08
0,47,l2,0.25,4096,-1.1682786293931713e-07,1.1682786293931713e-07,-1.5577050049842e-07,74.99999201742446,True,2.9206965734829282e-08,2.9206965734829282e-08
0,48,l2,0.25,4096,-9.042438975370715e-08,9.042438975370715e-08,-1.205658648473218e-07,74.99999263325137,True,2.2606097438426787e-08,2.2606097438426787e-08
0,49,l2,0.25,4096,-3.9631314052712696e-07,3.9631314052712696e-07,-5.28417587020158e-07,74.99999058737015,True,9.907828513178174e-08,9.907828513178174e-08
0,50,l2,0.25,4096,-7.559108610166732e-07,7.559108610166732e-07,-1.0078811669700372e-06,74.99999859002676,True,1.889777152541683e-07,1.889777152541683e-07
0,51,l2,0.25,4096,-2.2566099744381063e-07,2.2566099744381063e-07,-3.0088131097727455e-07,75.00000472307657,True,5.641524936095266e-08,5.641524936095266e-08
0,52,l2,0.25,4096,-2.0714550430511736e-07,2.0714550430511736e-07,-2.761940152140596e-07,74.99999742737823,True,5.178637607627934e-08,5.178637607627934e-08
0,53,l2,0.25,4096,-4.0268690781886107e-07,4.0268690781886107e-07,-5.369158770918148e-07,75.0,True,1.0067172695471527e-07,1.0067172695471527e-07
