layer,expert,loss_fn,beta_work,num_score_tokens,reference_active_batch_count,base_loss_at_identity,base_loss_at_work,gradient_at_identity,gradient_at_work,first_order_signed,first_order_abs,hessian_half_at_identity,reference_removal_at_identity,true_removal_at_identity,removal_loss_at_identity,true_removal_delta_at_work,removal_loss_at_work
0,66,kl_div,0.95,4096,2,9.212028045060322e-19,4.515492264654887e-08,-4.575035265203079e-23,-4.815520426859621e-09,4.5747444055166396e-09,4.5747444055166396e-09,3.9427376918865775e-08,4.0095834208386805e-08,3.9427801162292135e-08,3.9427801163213336e-08,4.0158735179967834e-08,8.53136578265167e-08
0,67,kl_div,0.95,4096,2,9.212028045060322e-19,4.515492264654887e-08,-1.0619662229936452e-22,-1.1720038717299985e-08,1.1134036781434986e-08,1.1134036781434986e-08,8.611957724724562e-08,8.662026829142633e-08,8.611253858189556e-08,8.611253858281676e-08,8.884928619776388e-08,1.3400420884431275e-07
0,68,kl_div,0.95,4096,2,9.212028045060322e-19,4.515492264654887e-08,-8.127581052811435e-23,-1.6960852722291975e-08,1.6112810086177376e-08,1.6112810086177376e-08,1.1685467171673736e-07,1.1655237841523558e-07,1.168976121516777e-07,1.168976121525989e-07,1.2162551235603043e-07,1.667804350025793e-07
0,69,kl_div,0.95,4096,2,9.212028045060322e-19,4.515492264654887e-08,-4.3583336757031473e-23,-7.709002103339913e-09,7.323551998172916e-09,7.323551998172916e-09,4.126890118527626e-08,4.072257553389136e-08,4.126403798840492e-08,4.1264037989326125e-08,4.456509073649299e-08,8.972001338304186e-08
0,70,kl_div,0.95,4096,2,9.212028045060322e-19,4.515492264654887e-08,-5.295092668903801e-23,-5.73118863478328e-09,5.444629203044115e-09,5.444629203044115e-09,5.140811509818377e-08,5.211349929368225e-08,5.140813809835442e-08,5.140813809927562e-08,5.184042604609388e-08,9.699534869264275e-08
0,71,kl_div,0.95,4096,2,9.212028045060322e-19,4.515492264654887e-08,1.2794527133170538e-24,-4.280754750674021e-09,4.066717013140319e-09,4.066717013140319e-09,2.3504512114413956e-08,2.272047083806683e-08,2.350901276742256e-08,2.350901276834376e-08,2.5286895422689994e-08,7.044181806923886e-08
0,72,kl_div,0.95,4096,2,9.212028045060322e-19,4.515492264654887e-08,1.4376153805093406e-23,-3.3903672091994963e-09,3.2208488487395212e-09,3.2208488487395212e-09,2.0516852217156156e-08,2.0928114352614102e-08,2.0514112874105924e-08,2.0514112875027125e-08,2.1733564755420264e-08,6.688848740196914e-08
0,73,kl_div,0.95,4096,2,9.212028045060322e-19,4.515492264654887e-08,-1.684208487429907e-23,-2.8548111652426655e-09,2.712070606980532e-09,2.712070606980532e-09,1.712809272191862e-08,1.6848865413976455e-08,1.712803568112772e-08,1.7128035682048923e-08,1.8171161127233682e-08,6.332608377378255e-08
0,74,kl_div,0.95,4096,2,9.212028045060322e-19,4.515492264654887e-08,1.374094367711727e-23,-5.537637237651438e-09,5.260755375768866e-09,5.260755375768866e-09,4.9158860093712065e-08,4.980683243616113e-08,4.9159058114979576e-08,4.915905811590078e-08,4.9626910206327475e-08,9.478183285287634e-08
0,75,kl_div,0.95,4096,2,9.212028045060322e-19,4.515492264654887e-08,-1.1900817147314791e-23,-2.367738360931071e-08,2.249351442884517e-08,2.249351442884517e-08,1.3790193520435423e-07,1.3952335109479463e-07,1.3793495141328e-07,1.379349514142012e-07,1.4701645962647237e-07,1.9217138227302123e-07
