baseline,expert_high,expert_low,truth_high,truth_low,truth_gap,first_high,first_low,hessian_high,hessian_low,hessian_relative_error_high,hessian_relative_error_low
first_order_abs,13,34,1.8799617258767294e-07,1.612696370968909e-07,2.672653549078204e-08,2.273276020758885e-08,2.6177402778770895e-08,1.8807284618560516e-07,1.6115104983782658e-07,0.0004078465900493794,0.0007353353129521718
first_order_signed,13,34,1.8799617258767294e-07,1.612696370968909e-07,2.672653549078204e-08,2.273276020758885e-08,2.6177402778770895e-08,1.8807284618560516e-07,1.6115104983782658e-07,0.0004078465900493794,0.0007353353129521718
first_order_abs,108,27,8.226436222415004e-08,5.586618760855002e-08,2.639817461560002e-08,9.022701896732599e-09,9.388301736024117e-09,8.233610060415231e-08,5.584386641999117e-08,0.0008720468750100524,0.00039954737407987216
first_order_signed,108,27,8.226436222415004e-08,5.586618760855002e-08,2.639817461560002e-08,9.022701896732599e-09,9.388301736024117e-09,8.233610060415231e-08,5.584386641999117e-08,0.0008720468750100524,0.00039954737407987216
first_order_abs,67,61,8.611253858189556e-08,6.004634727754968e-08,2.606619130434588e-08,1.1134036781434986e-08,1.2295768159198417e-08,8.611957724724562e-08,6.004147223848122e-08,8.173798457194542e-05,8.11879371433461e-05
first_order_signed,67,61,8.611253858189556e-08,6.004634727754968e-08,2.606619130434588e-08,1.1134036781434986e-08,1.2295768159198417e-08,8.611957724724562e-08,6.004147223848122e-08,8.173798457194542e-05,8.11879371433461e-05
first_order_abs,65,98,1.3287731754290939e-07,1.0692258987152722e-07,2.5954727671382162e-08,1.974236938373508e-08,2.6404627373466383e-08,1.3265648135529773e-07,1.0676933470676886e-07,0.0016619554916913726,0.0014333282138274752
first_order_signed,65,98,1.3287731754290939e-07,1.0692258987152722e-07,2.5954727671382162e-08,1.974236938373508e-08,2.6404627373466383e-08,1.3265648135529773e-07,1.0676933470676886e-07,0.0016619554916913726,0.0014333282138274752
first_order_abs,111,23,8.728085554749227e-08,6.142159700314327e-08,2.5859258544348996e-08,1.0025267971336405e-08,1.0522774718246807e-08,8.728105171940115e-08,6.142444419765525e-08,2.247593789604378e-06,4.6354941110202366e-05
first_order_signed,111,23,8.728085554749227e-08,6.142159700314327e-08,2.5859258544348996e-08,1.0025267971336405e-08,1.0522774718246807e-08,8.728105171940115e-08,6.142444419765525e-08,2.247593789604378e-06,4.6354941110202366e-05
first_order_abs,82,21,2.7224126636784057e-07,2.46422925594775e-07,2.5818340773065546e-08,3.5421716937378275e-08,4.1460119604153076e-08,2.721936880334397e-07,2.45963832412599e-07,0.0001747653286941391,0.0018630295094011061
first_order_signed,82,21,2.7224126636784057e-07,2.46422925594775e-07,2.5818340773065546e-08,3.5421716937378275e-08,4.1460119604153076e-08,2.721936880334397e-07,2.45963832412599e-07,0.0001747653286941391,0.0018630295094011061
first_order_abs,116,53,7.10998220131772e-08,4.529262818169316e-08,2.5807193831484036e-08,8.909839710469213e-09,9.662174127456068e-09,7.109583322062463e-08,4.528903829736919e-08,5.610130151704737e-05,7.92597927762417e-05
first_order_signed,116,53,7.10998220131772e-08,4.529262818169316e-08,2.5807193831484036e-08,8.909839710469213e-09,9.662174127456068e-09,7.109583322062463e-08,4.528903829736919e-08,5.610130151704737e-05,7.92597927762417e-05
first_order_abs,65,2,1.3287731754290939e-07,1.0729894294663803e-07,2.5578374596271357e-08,1.974236938373508e-08,1.9928708283600827e-08,1.3265648135529773e-07,1.0701042896243962e-07,0.0016619554916913726,0.002688880023188049
first_order_signed,65,2,1.3287731754290939e-07,1.0729894294663803e-07,2.5578374596271357e-08,1.974236938373508e-08,1.9928708283600827e-08,1.3265648135529773e-07,1.0701042896243962e-07,0.0016619554916913726,0.002688880023188049
first_order_abs,19,63,1.854147713277629e-07,1.598408723434112e-07,2.5573898984351694e-08,2.1798215454893466e-08,2.801087424231241e-08,1.8540910673436883e-07,1.5976854683685815e-07,3.0550928351109904e-05,0.0004524844333786793
