baseline,expert_high,expert_low,truth_high,truth_low,truth_gap,first_high,first_low,hessian_high,hessian_low,hessian_relative_error_high,hessian_relative_error_low
first_order_signed,126,57,3.198957817688046e-07,2.3652235047802466e-07,8.337343129077992e-08,5.73997624542244e-08,5.993303862084076e-08,3.1989580406843743e-07,2.3652235370263952e-07,6.970905563823671e-08,1.3633446696937914e-08
first_order_abs,4,53,1.7896841646260672e-07,9.752400249585814e-08,8.144441396674857e-08,2.06474083608299e-08,2.5503542300242542e-08,1.7896843473863555e-07,9.752397289730652e-08,1.0211873800997768e-07,3.035001729349403e-07
first_order_signed,4,53,1.7896841646260672e-07,9.752400249585814e-08,8.144441396674857e-08,2.06474083608299e-08,2.5503542300242542e-08,1.7896843473863555e-07,9.752397289730652e-08,1.0211873800997768e-07,3.035001729349403e-07
first_order_abs,19,63,4.230079629291528e-07,3.4258157009361574e-07,8.042639283553704e-08,6.438303845612836e-08,7.150470953121157e-08,4.2300797531424905e-07,3.425816146318539e-07,2.9278636226085022e-08,1.300076887620298e-07
first_order_signed,19,63,4.230079629291528e-07,3.4258157009361574e-07,8.042639283553704e-08,6.438303845612836e-08,7.150470953121157e-08,4.2300797531424905e-07,3.425816146318539e-07,2.9278636226085022e-08,1.300076887620298e-07
first_order_abs,111,53,1.7751961480411947e-07,9.752400249585814e-08,7.999561230826133e-08,2.3435098750468342e-08,2.5503542300242542e-08,1.7751960967871128e-07,9.752397289730652e-08,2.887234856544041e-08,3.035001729349403e-07
first_order_signed,111,53,1.7751961480411947e-07,9.752400249585814e-08,7.999561230826133e-08,2.3435098750468342e-08,2.5503542300242542e-08,1.7751960967871128e-07,9.752397289730652e-08,2.887234856544041e-08,3.035001729349403e-07
first_order_abs,79,50,2.519509133831503e-07,1.741873628227445e-07,7.776355056040578e-08,3.6907157952015264e-08,4.7874379394130526e-08,2.5195089392582304e-07,1.74187334778253e-07,7.722665886699252e-08,1.6100187211350373e-07
first_order_signed,79,50,2.519509133831503e-07,1.741873628227445e-07,7.776355056040578e-08,3.6907157952015264e-08,4.7874379394130526e-08,2.5195089392582304e-07,1.74187334778253e-07,7.722665886699252e-08,1.6100187211350373e-07
first_order_abs,82,104,5.469287695676489e-07,4.6950276154371635e-07,7.74260080239326e-08,7.393014520573615e-08,9.410222698846837e-08,5.469287884807272e-07,4.6950276555435266e-07,3.458051457775735e-08,8.542306119608046e-09
