layer,expert,loss_fn,beta_work,num_score_tokens,reference_active_batch_count,base_loss_at_identity,base_loss_at_work,gradient_at_identity,gradient_at_work,first_order_signed,first_order_abs,hessian_half_at_identity,reference_removal_at_identity,true_removal_at_identity,removal_loss_at_identity,true_removal_delta_at_work,removal_loss_at_work
0,83,l2,0.95,4096,2,0.0,1.1146171683760932e-07,0.0,-3.1701297587005683e-08,3.01162327076554e-08,3.01162327076554e-08,1.508622773371826e-07,1.508622631263279e-07,1.5086226270278802e-07,1.5086226270278802e-07,1.6626938897957181e-07,2.7773110581718115e-07
0,84,l2,0.95,4096,2,0.0,1.1146171683760932e-07,0.0,-9.374904053061073e-08,8.906158850408018e-08,8.906158850408018e-08,4.2359897634014487e-07,4.2359897634014487e-07,4.2359897962049977e-07,4.2359897962049977e-07,4.7135967304935935e-07,5.828213898869687e-07
0,85,l2,0.95,4096,2,0.0,1.1146171683760932e-07,0.0,-2.856170766563082e-08,2.7133622282349276e-08,2.7133622282349276e-08,1.9107613979940652e-07,1.9107613979940652e-07,1.910761721314109e-07,1.910761721314109e-07,1.9957986242355334e-07,3.1104157926116267e-07
0,86,l2,0.95,4096,2,0.0,1.1146171683760932e-07,0.0,-1.872324961738059e-08,1.778708713651156e-08,1.778708713651156e-08,1.2410008309871046e-07,1.2410008309871046e-07,1.2410008493519464e-07,1.2410008493519464e-07,1.2978739480838688e-07,2.412491116459962e-07
0,87,l2,0.95,4096,2,0.0,1.1146171683760932e-07,0.0,-3.8738750873790195e-08,3.680181333010068e-08,3.680181333010068e-08,2.0491442853654007e-07,2.0491442853654007e-07,2.0491441550822562e-07,2.0491441550822562e-07,2.2173708570961476e-07,3.331988025472241e-07
0,88,l2,0.95,4096,2,0.0,1.1146171683760932e-07,0.0,-1.0376172365766934e-08,9.857363747478586e-09,9.857363747478586e-09,6.089375403917074e-08,6.089375403917074e-08,6.089375628733603e-08,6.089375628733603e-08,6.481398405255899e-08,1.7627570089016832e-07
0,89,l2,0.95,4096,2,0.0,1.1146171683760932e-07,0.0,-1.7870726232160905e-08,1.697718992055286e-08,1.697718992055286e-08,1.5566179456527607e-07,1.5566179456527607e-07,1.5566180091105214e-07,1.5566180091105214e-07,1.5746195675675944e-07,2.689236735943688e-07
0,90,l2,0.95,4096,2,0.0,1.1146171683760932e-07,0.0,-6.765722204704616e-09,6.427436094469385e-09,6.427436094469385e-09,3.436869988604485e-08,3.436869988604485e-08,3.436870080289482e-08,3.436870080289482e-08,3.7445183192634924e-08,1.4890690003024424e-07
0,91,l2,0.95,4096,2,0.0,1.1146171683760932e-07,0.0,-4.2840031966306924e-08,4.069803036799158e-08,4.069803036799158e-08,2.2688371359436132e-07,2.2688371359436132e-07,2.2688367786724848e-07,2.2688367786724848e-07,2.4546057747443136e-07,3.569222943120407e-07
0,92,l2,0.95,4096,2,0.0,1.1146171683760932e-07,0.0,-1.0092690239105195e-08,9.588055727149935e-09,9.588055727149935e-09,8.498260228861909e-08,8.498258807776438e-08,8.498259991944167e-08,8.498259991944167e-08,8.628485457283165e-08,1.9774657141044097e-07
0,93,l2,0.95,4096,2,0.0,1.1146171683760932e-07,0.0,-3.1240459996695336e-08,2.9678436996860568e-08,2.9678436996860568e-08,1.7154252418549731e-07,1.7154255260720674e-07,1.715425665122121e-07,1.715425665122121e-07,1.8449558527379966e-07,2.95957302111409e-07
