layer,expert,selection_group,background_beta,beta,measured_loss,measured_delta_loss,local_gradient_at_beta
0,60,counterexample,1.0,0.95,1.044985012199871e-09,1.044985012199871e-09,-4.179943147164522e-08
0,60,counterexample,1.0,1.0,0.0,0.0,0.0
0,60,counterexample,1.0,1.05,1.0449863039937002e-09,1.0449863039937002e-09,4.179945811699781e-08
0,60,counterexample,1.0,1.25,2.6124658674506637e-08,2.6124658674506637e-08,2.089972923613459e-07
0,60,counterexample,1.0,1.5,1.0449867900998352e-07,1.0449867900998352e-07,4.179946699878201e-07
0,60,counterexample,0.95,0.0,5.601744768827069e-07,4.487127600450976e-07,-8.694241273587977e-07
0,60,counterexample,0.95,0.25,3.6894308669506295e-07,2.574813698574536e-07,-6.604268207865971e-07
0,60,counterexample,0.95,0.5,2.2996109112270965e-07,1.1849937428510033e-07,-4.514295284252512e-07
0,60,counterexample,0.95,0.75,1.4322837173768945e-07,3.176665490008013e-08,-2.4243220764219586e-07
0,60,counterexample,0.95,0.9,1.1626843137525412e-07,4.806714537644799e-09,-1.1703385638384134e-07
0,60,counterexample,0.95,0.95,1.1146171683760932e-07,0.0,-7.523433609435415e-08
0,60,counterexample,0.95,1.0,1.0874498574628429e-07,-2.7167310913250284e-09,-3.343486199014478e-08
0,60,counterexample,0.95,1.05,1.0811822912675541e-07,-3.3434877108539105e-09,8.364541947969428e-09
0,60,counterexample,0.95,1.25,1.2651093382885851e-07,1.5049216991249194e-08,1.755624481347695e-07
0,60,counterexample,0.95,1.5,1.965262185452056e-07,8.50645017075963e-08,3.8455978312867956e-07
0,65,high,1.0,0.0,2.957019339184524e-07,2.957019339184524e-07,-5.91403846783578e-07
0,65,high,1.0,0.25,1.6633232027061287e-07,1.6633232027061287e-07,-4.4355286377140146e-07
0,65,high,1.0,0.5,7.392548445361541e-08,7.392548445361541e-08,-2.957019091809343e-07
0,65,high,1.0,0.75,1.8481372127878054e-08,1.8481372127878054e-08,-1.4785096880132187e-07
0,65,high,1.0,0.9,2.95702349660629e-09,2.95702349660629e-09,-5.914042766619332e-08
0,65,high,1.0,0.95,7.392558764496234e-10,7.392558764496234e-10,-2.957021205673982e-08
0,65,high,1.0,1.0,0.0,0.0,0.0
0,65,high,1.0,1.05,7.39253052465421e-10,7.39253052465421e-10,2.957015610149938e-08
0,65,high,1.0,1.25,1.8481370022427693e-08,1.8481370022427693e-08,1.478509616958945e-07
0,65,high,1.0,1.5,7.392547410219142e-08,7.392547410219142e-08,2.957019091809343e-07
0,65,high,0.95,0.0,4.270378954608457e-07,3.1557617862323644e-07,-6.131022871613823e-07
0,65,high,0.95,0.25,2.9224369284098294e-07,1.807819760033736e-07,-4.652513325709151e-07
0,65,high,0.95,0.5,1.944122335194725e-07,8.295051668186318e-08,-3.174003495587385e-07
0,65,high,0.95,0.75,1.335435234030023e-07,2.208180656539298e-08,-1.6954939496827137e-07
0,65,high,0.95,0.9,1.1476440338066107e-07,3.302686543051754e-09,-8.083882008236287e-08
0,65,high,0.95,0.95,1.1146171683760932e-07,0.0,-5.126862312465619e-08
0,65,high,0.95,1.0,1.0963753831478525e-07,-1.8241785228240664e-09,-2.169842971966318e-08
