baseline,expert_high,expert_low,truth_high,truth_low,truth_gap,first_high,first_low,hessian_high,hessian_low,hessian_relative_error_high,hessian_relative_error_low,truth_increase_percent,first_decrease_percent,balanced_display_score,both_differences_at_least_20_percent,both_full_curves_available
first_order_abs,40,100,1.686782990410953e-07,1.3696808983206857e-07,3.171020920902674e-08,2.228011162230814e-08,3.000378017148364e-08,1.6867829799593892e-07,1.3696808309759945e-07,6.196152052625168e-09,4.916816119571488e-08,23.151530584901515,25.742318151351718,0.23151530584901514,True,False
first_order_abs,18,95,1.1121424421692042e-07,9.023565254489256e-08,2.0978591672027858e-08,1.278802433946069e-08,1.663221138592519e-08,1.1121424847715389e-07,9.023567315580294e-08,3.830654517715742e-08,2.284120500257328e-07,23.24867286972956,23.112903974498522,0.23112903974498522,True,False
first_order_abs,89,26,1.5566180091105214e-07,1.2649505103068067e-07,2.9166749880371478e-08,1.697718992055286e-08,2.8597835743937592e-08,1.5566179456527607e-07,1.2649502423300873e-07,4.076643106433669e-08,2.1184759177155848e-07,23.057621339903058,40.63470371476685,0.23057621339903056,True,False
first_order_abs,79,50,2.519509133831503e-07,1.741873628227445e-07,7.776355056040578e-08,3.6907157952015264e-08,4.7874379394130526e-08,2.5195089392582304e-07,1.74187334778253e-07,7.722665886699252e-08,1.6100187211350373e-07,44.643623567307266,22.908331305616592,0.22908331305616592,True,False
first_order_abs,101,49,1.536263056847343e-07,1.1626997167262457e-07,3.735633401210974e-08,1.940267622124736e-08,2.5099755562862924e-08,1.536263027901441e-07,1.1627000873204452e-07,1.884176143380153e-08,3.187359505840401e-07,32.12896113649366,22.697748300166097,0.22697748300166098,True,False
first_order_abs,101,27,1.536263056847343e-07,1.2530861549373684e-07,2.8317690190997475e-08,1.940267622124736e-08,2.7043274819504857e-08,1.536263027901441e-07,1.2530867365967424e-07,1.884176143380153e-08,4.641814704970573e-07,22.59835852420926,28.2532298667717,0.2259835852420926,True,False
first_order_abs,101,45,1.536263056847343e-07,1.254834684071946e-07,2.8142837277539722e-08,1.940267622124736e-08,2.6444372291933857e-08,1.536263027901441e-07,1.2548346717267123e-07,1.884176143380153e-08,9.83813547951381e-09,22.42752582054559,26.62833510642405,0.2242752582054559,True,False
first_order_abs,70,69,1.0342684881447056e-07,8.45386329917001e-08,1.888821582277046e-08,1.17350959838447e-08,1.6267421987237184e-08,1.0342686351805241e-07,8.453864097646147e-08,1.4216407076539892e-07,9.445103476480743e-08,22.342703157531396,27.86136615222976,0.22342703157531396,True,False
first_order_abs,40,26,1.686782990410953e-07,1.2649505103068067e-07,4.218324801041464e-08,2.228011162230814e-08,2.8597835743937592e-08,1.6867829799593892e-07,1.2649502423300873e-07,6.196152052625168e-09,2.1184759177155848e-07,33.347745755036165,22.091616226478738,0.22091616226478739,True,False
first_order_abs,66,103,7.894446323495268e-08,6.467719250289398e-08,1.4267270732058698e-08,9.12867090807623e-09,1.6147219428219726e-08,7.894446696354862e-08,6.467718094427255e-08,4.7230619960202626e-08,1.7871247938348766e-07,22.05919920135728,43.465988378640056,0.22059199201357282,True,False
