dual_bound,incumbent,layer_end,layer_start,layers,m,median_time_seconds,method,milp_binary_variables,mip_gap,mip_node_count,plan,plan_sha256,prune_ratio,relative_spread,relative_spread_percent,solver_message,solver_optimal,solver_reported_objective,solver_status,solver_success,spread,timing_repeats,warmup_runs
,768.0,48,36,12,4,0.002125972881913185,greedy_pairwise_swap,,,,/home/dyf/data/MARS-results/storage/ep4_plans/qwen3-vl-30b-a3b-p30.pt,af4e07085878198a8757a5680a1d4289071f093ab3ac6cd1b26490fc423b094e,0.3,0.0036336109008327025,0.3633610900832702,sort initialization with local refinement,,,0,,768.0,5,1
,1792.0,48,36,12,4,0.0059167270082980394,greedy_full_bijection,,,,/home/dyf/data/MARS-results/storage/ep4_plans/qwen3-vl-30b-a3b-p30.pt,af4e07085878198a8757a5680a1d4289071f093ab3ac6cd1b26490fc423b094e,0.3,0.008478425435276306,0.8478425435276306,sort initialization with local refinement,,,0,,1792.0,5,1
127.99999999633292,128.0,48,36,12,4,22.260291659040377,milp_assignment,192,0.0,60796,/home/dyf/data/MARS-results/storage/ep4_plans/qwen3-vl-30b-a3b-p30.pt,af4e07085878198a8757a5680a1d4289071f093ab3ac6cd1b26490fc423b094e,0.3,0.0006056018168054504,0.06056018168054504,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,127.99999999633292,0,True,128.0,1,0
,512.0,16,0,16,4,0.0021198061294853687,greedy_pairwise_swap,,,,/home/dyf/data/MARS-results/storage/ep4_plans/qwen3-vl-30b-a3b-p30.pt,af4e07085878198a8757a5680a1d4289071f093ab3ac6cd1b26490fc423b094e,0.3,0.001913189046992706,0.1913189046992706,sort initialization with local refinement,,,0,,512.0,5,1
,512.0,16,0,16,4,0.007998823886737227,greedy_full_bijection,,,,/home/dyf/data/MARS-results/storage/ep4_plans/qwen3-vl-30b-a3b-p30.pt,af4e07085878198a8757a5680a1d4289071f093ab3ac6cd1b26490fc423b094e,0.3,0.001913189046992706,0.1913189046992706,sort initialization with local refinement,,,0,,512.0,5,1
1.0,128.0,16,0,16,4,300.0373286770191,milp_assignment,256,0.9921874999464144,341870,/home/dyf/data/MARS-results/storage/ep4_plans/qwen3-vl-30b-a3b-p30.pt,af4e07085878198a8757a5680a1d4289071f093ab3ac6cd1b26490fc423b094e,0.3,0.0004782972617481765,0.04782972617481765,Time limit reached. (HiGHS Status 13: Time limit reached),False,127.99999912205385,1,False,128.0,1,0
,1664.0,32,16,16,4,0.0028354681562632322,greedy_pairwise_swap,,,,/home/dyf/data/MARS-results/storage/ep4_plans/qwen3-vl-30b-a3b-p30.pt,af4e07085878198a8757a5680a1d4289071f093ab3ac6cd1b26490fc423b094e,0.3,0.005963986695721986,0.5963986695721987,sort initialization with local refinement,,,0,,1664.0,5,1
,1664.0,32,16,16,4,0.008006345946341753,greedy_full_bijection,,,,/home/dyf/data/MARS-results/storage/ep4_plans/qwen3-vl-30b-a3b-p30.pt,af4e07085878198a8757a5680a1d4289071f093ab3ac6cd1b26490fc423b094e,0.3,0.005963986695721986,0.5963986695721987,sort initialization with local refinement,,,0,,1664.0,5,1
0.0,128.0,32,16,16,4,300.0320845840033,milp_assignment,256,1.0,364192,/home/dyf/data/MARS-results/storage/ep4_plans/qwen3-vl-30b-a3b-p30.pt,af4e07085878198a8757a5680a1d4289071f093ab3ac6cd1b26490fc423b094e,0.3,0.00045876820736322975,0.045876820736322974,Time limit reached. (HiGHS Status 13: Time limit reached),False,127.99999867560109,1,False,128.0,1,0
,1664.0,48,32,16,4,0.0028232550248503685,greedy_pairwise_swap,,,,/home/dyf/data/MARS-results/storage/ep4_plans/qwen3-vl-30b-a3b-p30.pt,af4e07085878198a8757a5680a1d4289071f093ab3ac6cd1b26490fc423b094e,0.3,0.005961251862891207,0.5961251862891207,sort initialization with local refinement,,,0,,1664.0,5,1
,1664.0,48,32,16,4,0.0055502899922430515,greedy_full_bijection,,,,/home/dyf/data/MARS-results/storage/ep4_plans/qwen3-vl-30b-a3b-p30.pt,af4e07085878198a8757a5680a1d4289071f093ab3ac6cd1b26490fc423b094e,0.3,0.005961251862891207,0.5961251862891207,sort initialization with local refinement,,,0,,1664.0,5,1
