layer,expert,beta_global,signed_residual,absolute_residual,signed_residual_over_abs_g0_pct,ratio_deviation_percentage_points
0,5,0.95,3.2094327196327246e-13,3.2094327196327246e-13,0.00030157124502798894,-0.00030157124502849797
0,6,0.95,2.926625608523926e-11,2.926625608523926e-11,0.04201783140955849,-0.042017831409558504
0,7,0.95,8.094804826443281e-11,8.094804826443281e-11,0.02160210207614044,-0.021602102076140994
0,8,0.95,-1.9815793450551357e-11,1.9815793450551357e-11,-0.009305484664485051,0.009305484664485775
0,9,0.95,5.08693087653869e-13,5.08693087653869e-13,0.0026657215540868808,-0.002665721554087064
0,10,0.95,3.429927453169537e-11,3.429927453169537e-11,0.03139322849812372,-0.03139322849812398
0,11,0.95,7.601030915796567e-12,7.601030915796567e-12,0.011573709368447455,-0.011573709368447815
0,12,0.95,5.3583182335622044e-11,5.3583182335622044e-11,0.0318727461644317,-0.031872746164431476
0,13,0.95,-4.641833584171465e-11,4.641833584171465e-11,-0.009717941392276318,0.00971794139227633
0,14,0.95,8.511964466607771e-11,8.511964466607771e-11,0.030623158958804464,-0.03062315895880463
0,15,0.95,1.6425305560133403e-12,1.6425305560133403e-12,0.0048345643489817154,-0.00483456434898244
0,16,0.95,3.4316613550800513e-09,3.4316613550800513e-09,0.24969005067634623,-0.24969005067634686
0,17,0.95,4.559161936869185e-11,4.559161936869185e-11,0.015501017617791659,-0.015501017617792101
0,18,0.95,-1.6514345446633067e-12,1.6514345446633067e-12,-0.0012641611063973278,0.0012641611063974878
0,19,0.95,-7.646328015178526e-12,7.646328015178526e-12,-0.0016667495298054173,0.0016667495298055002
0,20,0.95,2.7482593978338547e-11,2.7482593978338547e-11,0.02829169860258753,-0.028291698602587623
0,21,0.95,9.008957135847979e-10,9.008957135847979e-10,0.1011262316738269,-0.10112623167382662
0,22,0.95,2.5397906000582908e-12,2.5397906000582908e-12,0.0025426278171240334,-0.002542627817123666
0,23,0.95,2.8591351508662684e-12,2.8591351508662684e-12,0.0012902858498457283,-0.001290285849846029
0,24,0.95,-5.833111771347485e-13,5.833111771347485e-13,-0.0007542097363352524,0.0007542097363346656
0,25,0.95,-3.0355717939276215e-12,3.0355717939276215e-12,-0.005062752804340963,0.00506275280434032
0,26,0.95,2.4771797946244484e-10,2.4771797946244484e-10,0.1413211700073573,-0.1413211700073571
0,27,0.95,1.8111787625231095e-10,1.8111787625231095e-10,0.08998715295077862,-0.08998715295077808
0,28,0.95,9.104130782590835e-11,9.104130782590835e-11,0.023225799890866573,-0.023225799890866483
0,29,0.95,8.919087690679943e-13,8.919087690679943e-13,0.0008056243587221875,-0.0008056243587217793
0,30,0.95,3.944311544054889e-12,3.944311544054889e-12,0.002215464672779567,-0.0022154646727789995
0,31,0.95,1.8315517991142142e-10,1.8315517991142142e-10,0.06646465915383976,-0.06646465915383981
